architecture,scenario,pilot_seed,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds
cnn,rotation,11,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9305555555555556,0.25438958406448364,120,120,13706,2.1174237410000387
cnn,rotation,22,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.925,0.31892716884613037,120,120,13706,2.119086909000089
cnn,rotation,33,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.925,0.3354748487472534,118,120,13706,2.0947209579999253
cnn,rotation,44,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9388888888888889,0.2546852231025696,119,120,13706,2.085903980999774
cnn,rotation,55,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.925,0.2795860767364502,91,109,13706,1.9320139550000022
cnn,rotation,11,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9472222222222222,0.20864717662334442,94,112,13706,1.981795178000084
cnn,rotation,22,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9472222222222222,0.26334381103515625,102,120,13706,2.116662316000202
cnn,rotation,33,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9361111111111111,0.2886492908000946,118,120,13706,2.090476913999737
cnn,rotation,44,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9416666666666667,0.2308814525604248,56,74,13706,1.2743086000000403
cnn,rotation,55,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9444444444444444,0.22323723137378693,108,120,13706,2.1540343259998735
cnn,mixed,11,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6027777777777777,1.756246566772461,0,0,0,0.0
cnn,mixed,22,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6027777777777777,1.756246566772461,0,0,0,0.0
cnn,mixed,33,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6027777777777777,1.756246566772461,0,0,0,0.0
cnn,mixed,44,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6027777777777777,1.756246566772461,0,0,0,0.0
cnn,mixed,55,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6027777777777777,1.756246566772461,0,0,0,0.0
cnn,mixed,11,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.7388888888888889,0.8072212934494019,48,66,122,1.1971101549997911
cnn,mixed,22,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.725,0.8278998732566833,41,59,122,1.1267132319999291
cnn,mixed,33,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.7194444444444444,0.8108978271484375,115,120,122,2.1895071330000064
cnn,mixed,44,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.7166666666666667,0.8582671880722046,33,51,122,0.9429183529996408
cnn,mixed,55,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.7027777777777777,0.931473433971405,19,37,122,0.6882559699997728
cnn,mixed,11,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.7638888888888888,0.7398500442504883,86,104,122,1.8679586759999438
cnn,mixed,22,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.7444444444444445,0.7429350018501282,83,101,122,1.8474433559999852
cnn,mixed,33,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.7388888888888889,0.8018322587013245,70,88,122,1.5554300689996126
cnn,mixed,44,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.775,0.7278014421463013,116,120,122,2.1353528059999007
cnn,mixed,55,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.7166666666666667,0.801606297492981,27,45,122,0.8281951290000507
cnn,mixed,11,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.7611111111111111,0.7403221130371094,39,57,122,1.008574827999837
cnn,mixed,22,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.7555555555555555,0.7272875308990479,64,82,122,1.4108627139999044
cnn,mixed,33,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.7416666666666667,0.8230020999908447,43,61,122,1.0590739419999409
cnn,mixed,44,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.7805555555555556,0.7151402235031128,60,78,122,1.3323763329999565
cnn,mixed,55,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,0.7472222222222222,0.7850257754325867,43,61,122,1.0615632960002586
cnn,mixed,11,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.8361111111111111,0.5310004949569702,83,101,1868,1.8950202579999313
cnn,mixed,22,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.825,0.586199164390564,52,70,1868,1.3738172289999966
cnn,mixed,33,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.8027777777777778,0.7530294060707092,71,89,1868,1.712182711999958
cnn,mixed,44,lora,LoRA,lora,4-4-4-4,0.003,1.0,0.8194444444444444,0.6607283353805542,68,86,1868,1.6804029919999266
