scenario,seed,method,rank,selected_learning_rate,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1
mixed,11,LoRA,2,0.03,0.7388888888888889,0.9081428946974338,31,49,916,0.725,0.7198745353672549,1.0299568027474089,0.7777777777777778,0.7739226558196222
mixed,11,LoRA,4,0.03,0.7638888888888888,0.964945421435697,16,34,1832,0.725,0.7202139747172073,1.1246109900833434,0.7,0.717863277694539
mixed,11,LoRA,8,0.03,0.7666666666666667,0.9580648705958017,20,38,3664,0.7555555555555555,0.7516876858903067,0.9903942797639754,0.7305555555555555,0.736558378777453
mixed,11,DoRA,1,0.03,0.7,0.9485043921741287,32,50,660,0.7027777777777777,0.6991185600895695,1.0136081741614866,0.6611111111111111,0.6377969766444342
mixed,11,DoRA,2,0.03,0.7611111111111111,0.8244805316884336,52,70,1118,0.7333333333333333,0.731273027743244,0.8108999978270461,0.7027777777777777,0.7079934175628897
mixed,11,DoRA,4,0.03,0.75,0.7888529181233473,12,30,2034,0.7277777777777777,0.7227969264981958,0.810808345706049,0.7416666666666667,0.7465654508514487
mixed,11,DoRA,8,0.01,0.7722222222222223,0.9492913567122536,49,67,3866,0.7638888888888888,0.7609573883587883,0.8908773654503559,0.6555555555555556,0.6642319324837721
mixed,22,Frozen,0,0.0,0.48055555555555557,3.2889899899291626,0,0,0,0.5083333333333333,0.5026981153315153,3.154666943727483,0.975,0.9750206860286077
mixed,22,Magnitude-only,0,0.03,0.6583333333333333,1.0403056003580409,41,59,202,0.6444444444444445,0.6389075915921821,1.1470304743093114,0.9027777777777778,0.90277438700116
mixed,22,Full fine-tuning,0,0.001,0.7888888888888889,0.8105280153150791,78,96,17226,0.75,0.7453783310978517,0.8191498293484667,0.8916666666666667,0.8925588747609016
mixed,22,LoRA,1,0.01,0.7222222222222222,0.9943239732756071,44,62,458,0.6944444444444444,0.6889415530493743,0.9804322477257414,0.8111111111111111,0.797392583382947
mixed,22,LoRA,2,0.03,0.7444444444444445,0.982030246271026,32,50,916,0.7361111111111112,0.721817801763669,1.0748705835569237,0.7388888888888889,0.726123036449256
mixed,22,LoRA,4,0.01,0.7666666666666667,0.9257280346518444,41,59,1832,0.7444444444444445,0.7406624799925898,0.9471681902826999,0.7972222222222223,0.7950810256597446
mixed,22,LoRA,8,0.03,0.7777777777777778,1.2527376247236324,36,54,3664,0.775,0.7734148643666732,1.2996800745830104,0.725,0.7203590770528686
mixed,22,DoRA,1,0.01,0.7277777777777777,0.9312261293680579,51,69,660,0.6888888888888889,0.6845620862598252,0.9567900372276597,0.8138888888888889,0.8034863761344277
mixed,22,DoRA,2,0.03,0.7527777777777778,0.8172680372662093,27,45,1118,0.7527777777777778,0.7455563262000591,0.8961843551800857,0.7222222222222222,0.7193959407049475
mixed,22,DoRA,4,0.01,0.7805555555555556,0.769646414671695,45,63,2034,0.7694444444444445,0.7634522417355871,0.8118739854942517,0.7805555555555556,0.7669643283637487
mixed,22,DoRA,8,0.003,0.7861111111111111,0.8857873169486794,117,120,3866,0.7861111111111111,0.785086740264227,0.8730722626210443,0.8,0.7986243564905864
mixed,33,Frozen,0,0.0,0.48055555555555557,3.2889899899291626,0,0,0,0.5083333333333333,0.5026981153315153,3.154666943727483,0.975,0.9750206860286077
mixed,33,Magnitude-only,0,0.03,0.7138888888888889,0.8827556974814256,119,120,202,0.6527777777777778,0.648641431279448,1.1246596741378392,0.9111111111111111,0.9104084852825534
mixed,33,Full fine-tuning,0,0.001,0.7694444444444445,1.0071745739965132,87,105,17226,0.7194444444444444,0.7176926937258332,1.0706415333591046,0.8888888888888888,0.8878190140416775
mixed,33,LoRA,1,0.03,0.725,0.9550660705967311,24,42,458,0.6777777777777778,0.6751836930702984,1.0944319847885393,0.8666666666666667,0.8673056362996153
mixed,33,LoRA,2,0.003,0.7361111111111112,0.9241044841061864,73,91,916,0.7111111111111111,0.7114645965630814,1.0010239431570662,0.85,0.849572938216164
mixed,33,LoRA,4,0.03,0.75,1.3076269316329898,34,52,1832,0.7416666666666667,0.7426518204478982,1.3351486982426601,0.6861111111111111,0.6757508226794376
mixed,33,LoRA,8,0.01,0.7777777777777778,0.9817940177966161,24,42,3664,0.7472222222222222,0.7481832185159762,0.9847988931136409,0.8166666666666667,0.8108734607436299
mixed,33,DoRA,1,0.03,0.7388888888888889,0.8762799264805168,41,59,660,0.7111111111111111,0.7079642360283447,1.0475997615680235,0.7888888888888889,0.7847944092038265
mixed,33,DoRA,2,0.03,0.7416666666666667,0.772084296037851,9,27,1118,0.7055555555555556,0.7020001657183448,0.8376784053567629,0.8055555555555556,0.8035190654331625
mixed,33,DoRA,4,0.03,0.7861111111111111,0.8033068352897952,13,31,2034,0.7444444444444445,0.7357068282640834,0.9149922108450211,0.7305555555555555,0.724908147019922
mixed,33,DoRA,8,0.03,0.7777777777777778,0.7921412095248221,10,28,3866,0.7666666666666667,0.7583298687242784,0.8259998084430863,0.7666666666666667,0.7583660504069093
mixed,44,Frozen,0,0.0,0.48055555555555557,3.2889899899291626,0,0,0,0.5083333333333333,0.5026981153315153,3.154666943727483,0.975,0.9750206860286077
mixed,44,Magnitude-only,0,0.03,0.6944444444444444,0.8966313711520542,114,120,202,0.6833333333333333,0.6809391180991758,1.0101288157431199,0.8805555555555555,0.8813397361156365
mixed,44,Full fine-tuning,0,0.001,0.7861111111111111,0.835408121188761,65,83,17226,0.7611111111111111,0.7582245580733036,0.8514086620578145,0.8888888888888888,0.8906391026895457
mixed,44,LoRA,1,0.03,0.7472222222222222,0.8337435787347361,32,50,458,0.7083333333333334,0.7046250259610296,0.9722225996418432,0.7972222222222223,0.7976063790621006
mixed,44,LoRA,2,0.01,0.7583333333333333,0.9411556280452077,35,53,916,0.725,0.7253303542897276,1.0434625134686077,0.8111111111111111,0.8111815076305176
mixed,44,LoRA,4,0.03,0.7972222222222223,0.8203622514005537,13,31,1832,0.7555555555555555,0.7569497726247176,0.9254223268004981,0.8388888888888889,0.841690200271674
mixed,44,LoRA,8,0.003,0.7944444444444444,0.8080868525886021,37,55,3664,0.7416666666666667,0.7393971352793837,0.8693518342302051,0.8611111111111112,0.8641799646045533
